"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs alt","ARs alt Unit","ARs","ARs Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energie",,"Kojenci","Kojenci","6","6","6","mo","6 měsíců","1","0","Chlapci",,,,,"NA",,597,"kcal/den","2,5","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","7","7","7","mo","7 měsíců","1","0","Chlapci",,,,,"NA",,636,"kcal/den","2,7","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","8","8","8","mo","8 měsíců","1","0","Chlapci",,,,,"NA",,661,"kcal/den","2,8","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","9","9","9","mo","9 měsíců","1","0","Chlapci",,,,,"NA",,688,"kcal/den","2,9","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","10","10","10","mo","10 měsíců","1","0","Chlapci",,,,,"NA",,725,"kcal/den","3,0","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","11","11","11","mo","11 měsíců","1","0","Chlapci",,,,,"NA",,742,"kcal/den","3,1","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","6","6","6","mo","6 měsíců","0","1","Dívky",,,,,"NA",,549,"kcal/den","2,3","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","7","7","7","mo","7 měsíců","0","1","Dívky",,,,,"NA",,573,"kcal/den","2,4","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","8","8","8","mo","8 měsíců","0","1","Dívky",,,,,"NA",,599,"kcal/den","2,5","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","9","9","9","mo","9 měsíců","0","1","Dívky",,,,,"NA",,625,"kcal/den","2,6","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
