Classification;Name;Translated;Forms;Target population;Target population Description;From Age;To Age;Age range;Age Unit;Age displayed;Male;Female;Sex;SSI;SSI Unit;Additional information related to SSI results;AIs;AIs Unit;ARs;ARs Unit;ARs alt;ARs alt Unit;PRIs;PRIs Unit;RI;RI Unit;YEAR;AUTHOR;Scientific Opinion on DRV;DOI;Scientific Opinion AR/PRI or AI or RI LINK;Additional information related to AR/PRI or AI or RI results;Additional information 2;Criteria used to set DRVs;UL;UL Unit;Scientific Opinion on the Tolerable Upper Intake Level ;Scientific Opinion UL LINK;Additional information related to UL results;Note for the webtool developer
Energy;Energy;Енергија;;Доенчиња;Доенчиња;6;6;6;mo;6 месеци;1;0;Мажи;;;;NA;;2,5;MJ / ден;1332;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;7;7;7;mo;7 месеци;1;0;Мажи;;;;NA;;2,7;MJ / ден;1522;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;8;8;8;mo;8 месеци;1;0;Мажи;;;;NA;;2,8;MJ / ден;1712;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;9;9;9;mo;9 месеци;1;0;Мажи;;;;NA;;2,9;MJ / ден;1409;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;10;10;10;mo;10 месеци;1;0;Мажи;;;;NA;;3,0;MJ / ден;1610;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;11;11;11;mo;11 месеци;1;0;Мажи;;;;NA;;3,1;MJ / ден;1811;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;6;6;6;mo;6 месеци;0;1;Жени;;;;NA;;2,3;MJ / ден;1497;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;7;7;7;mo;7 месеци;0;1;Жени;;;;NA;;2,4;MJ / ден;1711;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;8;8;8;mo;8 месеци;0;1;Жени;;;;NA;;2,5;MJ / ден;1925;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;9;9;9;mo;9 месеци;0;1;Жени;;;;NA;;2,6;MJ / ден;1592;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;10;10;10;mo;10 месеци;0;1;Жени;;;;NA;;2,7;MJ / ден;1819;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Доенчиња;Доенчиња;11;11;11;mo;11 месеци;0;1;Жени;;;;NA;;2,8;MJ / ден;2046;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;Диететските референтни вредности за енергија се дадени како просечни барања (АRs) во однос на групите за наведената возраст, пол и имаат ограничена корист за поединците. Тие се изразени во единици на енергија. 1 МЈ = 238,83 kcal;;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;1;1;1;a;1 година PAL=1.4;1;0;Мажи;;;;NA;;3,3;MJ / ден;1684;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;2;2;2;a;2 години PAL=1.4;1;0;Мажи;;;;NA;;4,3;MJ / ден;1925;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;3;3;3;a;3 години PAL=1.4;1;0;Мажи;;;;NA;;4,9;MJ / ден;2165;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;4;4;4;a;4 години PAL=1.4;1;0;Мажи;;;;NA;;5,3;MJ / ден;1933;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;4;4;4;a;4 години PAL=1.6;1;0;Мажи;;;;NA;;6;MJ / ден;2174;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;4;4;4;a;4 години PAL=1.8;1;0;Мажи;;;;NA;;6,8;MJ / ден;2416;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;5;5;5;a;5 години PAL=1.4;1;0;Мажи;;;;NA;;5,6;MJ / ден;2043;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;5;5;5;a;5 години PAL=1.6;1;0;Мажи;;;;NA;;6,4;MJ / ден;2298;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;5;5;5;a;5 години PAL=1.8;1;0;Мажи;;;;NA;;7,2;MJ / ден;2554;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;6;6;6;a;6 години PAL=1.4;1;0;Мажи;;;;NA;;5,9;MJ / ден;2174;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
