"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs alt","ARs alt Unit","ARs","ARs Unit","PRIs","PRIs Unit","RI","RI Unit","an","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","6","6","6","mo","6 Monate","1","0","Männlich",,,,,"NA",,597,"kcal/Tag","2,5","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","7","7","7","mo","7 Monate","1","0","Männlich",,,,,"NA",,636,"kcal/Tag","2,7","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","8","8","8","mo","8 Monate","1","0","Männlich",,,,,"NA",,661,"kcal/Tag","2,8","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","9","9","9","mo","9 Monate","1","0","Männlich",,,,,"NA",,688,"kcal/Tag","2,9","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","10","10","10","mo","10 Monate","1","0","Männlich",,,,,"NA",,725,"kcal/Tag","3,0","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","11","11","11","mo","11 Monate","1","0","Männlich",,,,,"NA",,742,"kcal/Tag","3,1","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","6","6","6","mo","6 Monate","0","1","Weiblich",,,,,"NA",,549,"kcal/Tag","2,3","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","7","7","7","mo","7 Monate","0","1","Weiblich",,,,,"NA",,573,"kcal/Tag","2,4","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","8","8","8","mo","8 Monate","0","1","Weiblich",,,,,"NA",,599,"kcal/Tag","2,5","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","9","9","9","mo","9 Monate","0","1","Weiblich",,,,,"NA",,625,"kcal/Tag","2,6","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
