"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","6","6","6","mo","6 μηνών","1","0","Άνδρες",,,,,"NA",,"2.5","MJ/day",597,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","7","7","7","mo","7 μηνών","1","0","Άνδρες",,,,,"NA",,"2.7","MJ/day",636,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","8","8","8","mo","8 μηνών","1","0","Άνδρες",,,,,"NA",,"2.8","MJ/day",661,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","9","9","9","mo","9 μηνών","1","0","Άνδρες",,,,,"NA",,"2.9","MJ/day",688,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","10","10","10","mo","10 μηνών","1","0","Άνδρες",,,,,"NA",,"3.0","MJ/day",725,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","11","11","11","mo","11 μηνών","1","0","Άνδρες",,,,,"NA",,"3.1","MJ/day",742,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","6","6","6","mo","6 μηνών","0","1","Γυναίκες",,,,,"NA",,"2.3","MJ/day",549,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","7","7","7","mo","7 μηνών","0","1","Γυναίκες",,,,,"NA",,"2.4","MJ/day",573,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","8","8","8","mo","8 μηνών","0","1","Γυναίκες",,,,,"NA",,"2.5","MJ/day",599,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","9","9","9","mo","9 μηνών","0","1","Γυναίκες",,,,,"NA",,"2.6","MJ/day",625,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","10","10","10","mo","10 μηνών","0","1","Γυναίκες",,,,,"NA",,"2.7","MJ/day",656,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Βρέφη","Βρέφη","11","11","11","mo","11 μηνών","0","1","Γυναίκες",,,,,"NA",,"2.8","MJ/day",673,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Οι διατροφικές τιμές αναφοράς για την ενέργεια δίδονται ως μέση απαίτηση (average requirements, AR) για συγκεκριμένη ηλικιακή ομάδα και φύλο και είναι περιορισμένης χρήσης για τους πολίτες. Εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Παιδιά και έφηβοι","Παιδιά και έφηβοι","1","1","1","y","1 ετη PAL=1.4","1","0","Άνδρες",,,,,"NA",,"3.3","MJ/day",777,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Για τα παιδιά και τους ενήλικες, οι μέσες απαιτήσεις (ARs) για την ενέργεια παρέχονται για διαφορετικά επίπεδα φυσικής δραστηριότητας (physical activity levels, PAL). Οι τιμές PAL ίσες με 1.4, 1.6, 1.8 και 2.0 αναφέρονται σε έναν χαμηλά δραστήριο (καθιστικό), ελαφρά δραστήριο, δραστήριο  και πολύ δραστήριο  τρόπο ζωής, αντίστοιχα. Τα ARs για την ενέργεια εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Παιδιά και έφηβοι","Παιδιά και έφηβοι","2","2","2","y","2 ετών PAL=1.4","1","0","Άνδρες",,,,,"NA",,"4.3","MJ/day",1028,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Για τα παιδιά και τους ενήλικες, οι μέσες απαιτήσεις (ARs) για την ενέργεια παρέχονται για διαφορετικά επίπεδα φυσικής δραστηριότητας (physical activity levels, PAL). Οι τιμές PAL ίσες με 1.4, 1.6, 1.8 και 2.0 αναφέρονται σε έναν χαμηλά δραστήριο (καθιστικό), ελαφρά δραστήριο, δραστήριο  και πολύ δραστήριο  τρόπο ζωής, αντίστοιχα. Τα ARs για την ενέργεια εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Παιδιά και έφηβοι","Παιδιά και έφηβοι","3","3","3","y","3 ετών PAL=1.4","1","0","Άνδρες",,,,,"NA",,"4.9","MJ/day",1174,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Για τα παιδιά και τους ενήλικες, οι μέσες απαιτήσεις (ARs) για την ενέργεια παρέχονται για διαφορετικά επίπεδα φυσικής δραστηριότητας (physical activity levels, PAL). Οι τιμές PAL ίσες με 1.4, 1.6, 1.8 και 2.0 αναφέρονται σε έναν χαμηλά δραστήριο (καθιστικό), ελαφρά δραστήριο, δραστήριο  και πολύ δραστήριο  τρόπο ζωής, αντίστοιχα. Τα ARs για την ενέργεια εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Παιδιά και έφηβοι","Παιδιά και έφηβοι","4","4","4","y","4 ετών PAL=1.4","1","0","Άνδρες",,,,,"NA",,"5.3","MJ/day",1256,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Για τα παιδιά και τους ενήλικες, οι μέσες απαιτήσεις (ARs) για την ενέργεια παρέχονται για διαφορετικά επίπεδα φυσικής δραστηριότητας (physical activity levels, PAL). Οι τιμές PAL ίσες με 1.4, 1.6, 1.8 και 2.0 αναφέρονται σε έναν χαμηλά δραστήριο (καθιστικό), ελαφρά δραστήριο, δραστήριο  και πολύ δραστήριο  τρόπο ζωής, αντίστοιχα. Τα ARs για την ενέργεια εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
"Energy","Energy","Ενέργεια",,"Παιδιά και έφηβοι","Παιδιά και έφηβοι","4","4","4","y","4 ετών PAL=1.6","1","0","Άνδρες",,,,,"NA",,"6","MJ/day",1436,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Για τα παιδιά και τους ενήλικες, οι μέσες απαιτήσεις (ARs) για την ενέργεια παρέχονται για διαφορετικά επίπεδα φυσικής δραστηριότητας (physical activity levels, PAL). Οι τιμές PAL ίσες με 1.4, 1.6, 1.8 και 2.0 αναφέρονται σε έναν χαμηλά δραστήριο (καθιστικό), ελαφρά δραστήριο, δραστήριο  και πολύ δραστήριο  τρόπο ζωής, αντίστοιχα. Τα ARs για την ενέργεια εκφράζονται σε μονάδες ενέργειας. 1 MJ = 238,83 kcal (θερμίδες).",,,"NA",,,,"NA",
