"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energy",,"Infants","Infants","6","6","6","mo","6 months","1","0","Male",,,,,"NA",,"2.5","MJ/day",597,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","7","7","7","mo","7 months","1","0","Male",,,,,"NA",,"2.7","MJ/day",636,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","8","8","8","mo","8 months","1","0","Male",,,,,"NA",,"2.8","MJ/day",661,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","9","9","9","mo","9 months","1","0","Male",,,,,"NA",,"2.9","MJ/day",688,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","10","10","10","mo","10 months","1","0","Male",,,,,"NA",,"3.0","MJ/day",725,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","11","11","11","mo","11 months","1","0","Male",,,,,"NA",,"3.1","MJ/day",742,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","6","6","6","mo","6 months","0","1","Female",,,,,"NA",,"2.3","MJ/day",549,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","7","7","7","mo","7 months","0","1","Female",,,,,"NA",,"2.4","MJ/day",573,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","8","8","8","mo","8 months","0","1","Female",,,,,"NA",,"2.5","MJ/day",599,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
"Energy","Energy","Energy",,"Infants","Infants","9","9","9","mo","9 months","0","1","Female",,,,,"NA",,"2.6","MJ/day",625,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. 
",,,"NA",,,,"NA",
