"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energía",,"Lactantes","Lactantes","6","6","6","m","6 meses","1","0","Hombre",,,,,"NA",,"2,5","MJ/día",597,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","7","7","7","m","7 meses","1","0","Hombre",,,,,"NA",,"2,7","MJ/día",636,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","8","8","8","m","8 meses","1","0","Hombre",,,,,"NA",,"2,8","MJ/día",661,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","9","9","9","m","9 meses","1","0","Hombre",,,,,"NA",,"2,9","MJ/día",688,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","10","10","10","m","10 meses","1","0","Hombre",,,,,"NA",,"3,0","MJ/día",725,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","11","11","11","m","11 meses","1","0","Hombre",,,,,"NA",,"3,1","MJ/día",742,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","6","6","6","m","6 meses","0","1","Mujer",,,,,"NA",,"2,3","MJ/día",549,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","7","7","7","m","7 meses","0","1","Mujer",,,,,"NA",,"2,4","MJ/día",573,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","8","8","8","m","8 meses","0","1","Mujer",,,,,"NA",,"2,5","MJ/día",599,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energía",,"Lactantes","Lactantes","9","9","9","m","9 meses","0","1","Mujer",,,,,"NA",,"2,6","MJ/día",625,"kcal/día","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Las ingestas dietéticas de referencia para la energía se expresan como los requerimientos medios estimados (RME) de grupos de edad y sexo específicos y son de uso limitado para las personas. Se expresan en unidades de energía. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
