"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energia",,"Imikud","Imikud","6","6","6","k","6 kuud","1","0","Meessoost",,,,,"NA",,"2.5","MJ päevas",597,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","7","7","7","k","7 kuud","1","0","Meessoost",,,,,"NA",,"2.7","MJ päevas",636,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","8","8","8","k","8 kuud","1","0","Meessoost",,,,,"NA",,"2.8","MJ päevas",661,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","9","9","9","k","9 kuud","1","0","Meessoost",,,,,"NA",,"2.9","MJ päevas",688,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","10","10","10","k","10 kuud","1","0","Meessoost",,,,,"NA",,"3.0","MJ päevas",725,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","11","11","11","k","11 kuud","1","0","Meessoost",,,,,"NA",,"3.1","MJ päevas",742,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","6","6","6","k","6 kuud","0","1","Naissoost",,,,,"NA",,"2.3","MJ päevas",549,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","7","7","7","k","7 kuud","0","1","Naissoost",,,,,"NA",,"2.4","MJ päevas",573,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","8","8","8","k","8 kuud","0","1","Naissoost",,,,,"NA",,"2.5","MJ päevas",599,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Imikud","Imikud","9","9","9","k","9 kuud","0","1","Naissoost",,,,,"NA",,"2.6","MJ päevas",625,"kcal päevas","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Energia toitainete võrdlusväärtused on esitatud vanuse- ja soorühmade toitaine keskmise vajadusena (AR) ega kehti individuaalse soovitusena. Võrdlusväärtused on antud energiaühikutes. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
