"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","an","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","6","6","6","mo","6 mois","1","0","Garçons",,,,,"NA",,"2,5","MJ/jour",597,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","7","7","7","mo","7 mois","1","0","Garçons",,,,,"NA",,"2,7","MJ/jour",636,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","8","8","8","mo","8 mois","1","0","Garçons",,,,,"NA",,"2,8","MJ/jour",661,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","9","9","9","mo","9 mois","1","0","Garçons",,,,,"NA",,"2,9","MJ/jour",688,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","10","10","10","mo","10 mois","1","0","Garçons",,,,,"NA",,"3,0","MJ/jour",725,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","11","11","11","mo","11 mois","1","0","Garçons",,,,,"NA",,"3,1","MJ/jour",742,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","6","6","6","mo","6 mois","0","1","Filles",,,,,"NA",,"2,3","MJ/jour",549,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","7","7","7","mo","7 mois","0","1","Filles",,,,,"NA",,"2,4","MJ/jour",573,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","8","8","8","mo","8 mois","0","1","Filles",,,,,"NA",,"2,5","MJ/jour",599,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","9","9","9","mo","9 mois","0","1","Filles",,,,,"NA",,"2,6","MJ/jour",625,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
