"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energia",,"Lattanti","Lattanti","6","6","6","m","6 mesi","1","0","Maschio",,,,,"NA",,"2,5","MJ/giorno",597,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","7","7","7","m","7 mesi","1","0","Maschio",,,,,"NA",,"2,7","MJ/giorno",636,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","8","8","8","m","8 mesi","1","0","Maschio",,,,,"NA",,"2,8","MJ/giorno",661,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","9","9","9","m","9 mesi","1","0","Maschio",,,,,"NA",,"2,9","MJ/giorno",688,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","10","10","10","m","10 mesi","1","0","Maschio",,,,,"NA",,"3,0","MJ/giorno",725,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","11","11","11","m","11 mesi","1","0","Maschio",,,,,"NA",,"3,1","MJ/giorno",742,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","6","6","6","m","6 mesi","0","1","Femmina",,,,,"NA",,"2,3","MJ/giorno",549,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","7","7","7","m","7 mesi","0","1","Femmina",,,,,"NA",,"2,4","MJ/giorno",573,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","8","8","8","m","8 mesi","0","1","Femmina",,,,,"NA",,"2,5","MJ/giorno",599,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","9","9","9","m","9 mesi","0","1","Femmina",,,,,"NA",,"2,6","MJ/giorno",625,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","10","10","10","m","10 mesi","0","1","Femmina",,,,,"NA",,"2,7","MJ/giorno",656,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Lattanti","Lattanti","11","11","11","m","11 mesi","0","1","Femmina",,,,,"NA",,"2,8","MJ/giorno",673,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","I valori di energia di riferimento per la dieta sono esposti come fabbisogni medi (AR) di specifiche fasce d’età e sesso e sono di uso limitato per i singoli individui. 
Sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","1","1","1","a","1 anno PAL=1,4","1","0","Maschio",,,,,"NA",,"3,3","MJ/giorno",777,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","2","2","2","a","2 anni PAL=1,4","1","0","Maschio",,,,,"NA",,"4,3","MJ/giorno",1028,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","3","3","3","a","3 anni PAL=1,4","1","0","Maschio",,,,,"NA",,"4,9","MJ/giorno",1174,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","4","4","4","a","4 anni PAL=1,4","1","0","Maschio",,,,,"NA",,"5,3","MJ/giorno",1256,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","4","4","4","a","4 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"6","MJ/giorno",1436,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","4","4","4","a","4 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"6,8","MJ/giorno",1615,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","5","5","5","a","5 anni PAL=1,4","1","0","Maschio",,,,,"NA",,"5,6","MJ/giorno",1332,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","5","5","5","a","5 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"6,4","MJ/giorno",1522,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","5","5","5","a","5 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"7,2","MJ/giorno",1712,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","6","6","6","a","6 anni PAL=1,4","1","0","Maschio",,,,,"NA",,"5,9","MJ/giorno",1409,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","6","6","6","a","6 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"6,7","MJ/giorno",1610,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","6","6","6","a","6 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"7,6","MJ/giorno",1811,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","7","7","7","a","7 anni PAL=1,4","1","0","Maschio",,,,,"NA",,"6,3","MJ/giorno",1497,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
