"Nutrients","Image","PDF Annotations",,"Additional info / comments","What is it and what does it do?","Deficiency
(incl. if available)","Food sources
(incl. if available)","image (file name, location: T:\Kirsten\Images for DRV tool)","Text to be displayed in the results pop-up","news story","opinion",,
"Energy","Energy 11949397.jpg","DRVs for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals. They are expressed in units of energy. 1 MJ = 238,83 kcal

For children and adults, ARs for energy are provided for different levels of physical activity (PAL). PAL values of 1.4, 1.6, 1.8 and 2.0 reflect low active (sedentary), moderately active, active and very active lifestyles.

For adults, ARs for energy are calculated by multiplying estimates of resting energy expenditure (REE), predicted from anthropometric measures, with PAL values. ARs for energy were not calculated for adults ≥ 80 years because of a lack of anthropometric data from EU countries for this age group.

For pregnant and lactating women value should be added to the AR of non-pregnant, non-lactating women.
",,"[info for result popup] ""Dietary reference values for energy are expressed in units of energy.""
+ info on conversion between MJ and kcal","Energy requirement is the amount of energy from food people need to sustain themselves and be in good health. Carbohydrates, fats and protein provide energy. 

","N/A",,"shutterstock_572226073","Dietary reference values for energy are given as average requirements (ARs) of specified age and sex groups and are of limited use for individuals, They are expressed in units of energy. 
1 MJ = 238,83 kcal
Physical activity level (PAL) values of 1.4, 1.6, 1.8 and 2.0 reflect low active (sedentary), moderately active, active and very active lifestyles.","https://www.efsa.europa.eu/en/press/news/130110","https://www.efsa.europa.eu/en/press/news/130110",,
"Carbohydrates","Carbohydrate 429328003.jpg",,,,"Carbohydrates are the main source of energy in most human diets. Nutritionally, two broad categories of carbohydrates can be differentiated: “glycaemic carbohydrates”, i.e. carbohydrates digested and absorbed in the human small intestine, and “dietary fibre”, which are non-digestible carbohydrates passing to the large intestine. EFSA set DRVs for total carbohydrates and dietary fibre.
",,,,,,"https://www.efsa.europa.eu/en/efsajournal/pub/1462",,
"Total carbohydrates","Total_Carbo_252443719.jpg","E%: percentage of energy intake","glycaemic carbohydrates","glucose and fructose
(monosaccharide)","Total carbohydrates include all kinds of carbohydrates, regardless of their physiological and nutritional properties. Among carbohydrates, glycaemic carbohydrates are the main source of energy, which they provide to body cells in the form of glucose. Cells in the central nervous system and red blood cells have an absolute requirement for glucose. The main glycaemic carbohydrates in the diet are monosaccharides (glucose and fructose), disaccharides (sucrose and lactose), malto-oligosaccharides, and starch. ","Very low [total] intakes of glycaemic carbohydratse levels can result in chronically increased production and plasma concentrations of fat-derived metabolites (i.e. β-hydroxybutyric and acetoacetic acid) acids, a condition referred to as ketosis, and may adversely affect high-intensity impact muscle function.","Food sources of glucose and fructose include fruits, berries, fruit juices, and some vegetables.","shutterstock_252443719",,,,,
,,,,"sucrose and lactose
(disaccharide)",,,"Food sources of sucrose include fruits, berries and juices; sugar added to foods, carbonated beverages and sweets

Food sources of galactose (component of lactose) include fermented and lactase-hydrolysed milk products","shutterstock_412394602",,,,,
,,,,"malto-oligosaccharides
(3-10 sugar units)",,,,"shutterstock_252443719",,,,,
,,,,"starch
(polysaccharide)",,,"Food sources of starch include grains (e.g. corn, tapioca, flour, cereals, popcorn, pasta, rice, potatoes, and crackers) and some vegetables","shutterstock_129309782",,,,,
"Dietary fibre","dietary fibre 710084218.jpg",,"dietary fibres",,"Dietary fibre refers to carbohydrates which cannot be digested in the human small intestine and includes non-starch polysaccharides, resistant starch, resistant oligosaccharides, and lignin. Dietary fibre has an established role in bowel function (e.g. laxation). Some types of dietary fibre also reduce absorption of dietary fat and glycaemic carbohydrates. ","Inadequate Low intakes of dietary fibre may result in impaired bowel function (e.g. constipation) and other related conditions.","Food sources of dietary fibres include whole grain cereals, pulses, fruit and vegetables; potatoes; nuts and seeds.","shutterstock_425034958",,,"https://www.efsa.europa.eu/en/efsajournal/pub/1462 ",,
"Fats","Fat 396446890.jpg",,,,"Fats are a major energy source for the body. Dietary fats mainly consist of triacylglycerol, which are molecules composed of three fatty acids and glycerol, but phosphatidylcholine and cholesterol are also included.  EFSA set DRVs for total fat, alpha-linolenic acid (ALA), eicosapentaenoic acid and docosahexaenoic acid (EPA and DHA), linoleic acid (LA), saturated fatty acids (SFA) and trans-fatty acids (TFA).",,,"shutterstock_396446890 (if necessary)",,,"https://www.efsa.europa.eu/en/efsajournal/pub/1461",,
"Total fat","Total fat 510672865.jpg","E%: percentage of energy intake","Total fat",,"Total fat is the combination of all types of dietary fats or lipids. Fat is an important source of energy and facilitates the absorption of fat soluble vitamins and carotenoids.","Inadequate intake of [total] fat may result in impaired growth and an increased
risk of chronic disease (IOM 2006, p.133) Very low intakes of [total] fat may result in impaired growth, PUFA deficiency and deficiency of fat-soluble vitamins and other essential nutrients ","N/A","shutterstock_439021402",,,,,
"Alpha-linolenic acid (ALA)","Alpha-linolenic acid (ALA) 240806161.jpg","E%: percentage of energy intake","Alpha-linolenic acid (ALA)","omega-3; 18 c","Alpha-linolenic acid (ALA) is a type of omega-3 polyunsaturated fatty acid (PUFA) of vegetable origin that must be obtained through the diet. It is the parent compound of long-chain omega-3 fatty acids in the body.","Deficiency in ALA may result in scaly skin, dermatitis, and reduced growth (IOM 2006, p.125)","Food sources of ALA include some vegetable foods (e.g. linseed, rapeseed oil and walnuts)","(sources: flaxseed oil, and in canola, soy, perilla, and walnut oils) > shutterstock_240806161",,,,,
