"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Lytis","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","6","6","6","mo","6 mėnesiai","1","0","Vyrai",,,,,"NA",,"2,5","MJ/day",597,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","7","7","7","mo","7 mėnesiai","1","0","Vyrai",,,,,"NA",,"2,7","MJ/day",636,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","8","8","8","mo","8 mėnesiai","1","0","Vyrai",,,,,"NA",,"2,8","MJ/day",661,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","9","9","9","mo","9 mėnesiai","1","0","Vyrai",,,,,"NA",,"2,9","MJ/day",688,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","10","10","10","mo","10 mėnesių","1","0","Vyrai",,,,,"NA",,"3,0","MJ/day",725,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","11","11","11","mo","11 mėnesių","1","0","Vyrai",,,,,"NA",,"3,1","MJ/day",742,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","6","6","6","mo","6 mėnesiai","0","1","Moterys",,,,,"NA",,"2,3","MJ/day",549,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","7","7","7","mo","7 mėnesiai","0","1","Moterys",,,,,"NA",,"2,4","MJ/day",573,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","8","8","8","mo","8 mėnesiai","0","1","Moterys",,,,,"NA",,"2,5","MJ/day",599,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","9","9","9","mo","9 mėnesiai","0","1","Moterys",,,,,"NA",,"2,6","MJ/day",625,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
