Food;Category;SubCategory;Samples;Below LOQ;% Below LOQ;Below MRL;% Below MRL;Above MRL;% Above MRL
Brassica vegetables (excluding brassica roots and brassica baby leaf crops);Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);11;11;100;0;0;0;0
Broccoli;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);603;386;64.013267;204;33.83084577;13;2.155887231
Brussels sprouts;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);228;75;32.89473684;148;64.9122807;5;2.192982456
Cauliflowers;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);1225;988;80.65306122;216;17.63265306;21;1.714285714
Chinese cabbages/pe-tsai;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);128;60;46.875;54;42.1875;14;10.9375
Flowering brassica;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);2;2;100;0;0;0;0
Head cabbages;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);588;449;76.36054422;121;20.57823129;18;3.06122449
Kales;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);176;66;37.5;95;53.97727273;15;8.522727273
Kohlrabies;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);177;123;69.49152542;41;23.16384181;13;7.344632768
Leafy brassica;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);2;1;50;1;50;0;0
Other flowering brassica;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);1;0;0;1;100;0;0
Other head brassica;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);2;2;100;0;0;0;0
Other leafy brassica;Vegetables;Brassica vegetables (excluding brassica roots and brassica baby leaf crops);1;1;100;0;0;0;0
Bulb vegetables;Vegetables;Bulb vegetables;1;1;100;0;0;0;0
Garlic;Vegetables;Bulb vegetables;153;129;84.31372549;23;15.03267974;1;0.653594771
Onions;Vegetables;Bulb vegetables;1326;1081;81.52337858;239;18.02413273;6;0.452488688
Shallots;Vegetables;Bulb vegetables;22;9;40.90909091;13;59.09090909;0;0
Spring onions/green onions and Welsh onions;Vegetables;Bulb vegetables;439;130;29.61275626;299;68.10933941;10;2.277904328
Aubergines/eggplants;Vegetables;Fruiting vegetables;848;521;61.43867925;300;35.37735849;27;3.183962264
Chili peppers;Vegetables;Fruiting vegetables;286;71;24.82517483;141;49.3006993;74;25.87412587
Courgettes;Vegetables;Fruiting vegetables;904;611;67.58849558;271;29.97787611;22;2.433628319
Cucumbers;Vegetables;Fruiting vegetables;1536;620;40.36458333;873;56.8359375;43;2.799479167
Cucurbits with inedible peel;Vegetables;Fruiting vegetables;4;4;100;0;0;0;0
Fruiting vegetables;Vegetables;Fruiting vegetables;2;2;100;0;0;0;0
Gherkins;Vegetables;Fruiting vegetables;10;6;60;3;30;1;10
Melons;Vegetables;Fruiting vegetables;435;222;51.03448276;205;47.12643678;8;1.83908046
Okra (lady's fingers);Vegetables;Fruiting vegetables;334;154;46.10778443;131;39.22155689;49;14.67065868
Other cucurbits with edible peel;Vegetables;Fruiting vegetables;1;0;0;1;100;0;0
Pumpkins;Vegetables;Fruiting vegetables;365;297;81.36986301;64;17.53424658;4;1.095890411
Sweet corn;Vegetables;Fruiting vegetables;123;121;98.37398374;0;0;2;1.62601626
Sweet peppers/bell peppers;Vegetables;Fruiting vegetables;6111;2649;43.34806087;3103;50.77728686;359;5.874652266
Tomatoes;Vegetables;Fruiting vegetables;3101;1601;51.62850693;1377;44.40503064;123;3.966462431
Watermelons;Vegetables;Fruiting vegetables;184;148;80.43478261;33;17.93478261;3;1.630434783
Algae and prokaryotes organisms;Vegetables;Fungi, mosses and lichens;2;2;100;0;0;0;0
Cultivated fungi;Vegetables;Fungi, mosses and lichens;650;397;61.07692308;224;34.46153846;29;4.461538462
Fungi, mosses and lichens;Vegetables;Fungi, mosses and lichens;9;9;100;0;0;0;0
