code;name;dom;eu;tc;un
AT;Austria;49.64189794;30.12533572;17.72605192;2.506714414
BE;Belgium;40.9609769;24.15715423;23.17494027;11.70692859
BG;Bulgaria;3.648360179;0.65980982;95.69183;0
HR;Croatia;69.10420475;23.9488117;6.946983547;0
CY;Cyprus;70.87667162;8.172362556;20.653789;0.29717682
CZ;Czech Republic;32.04633205;48.49420849;15.83011583;3.629343629
DK;Denmark;29.85257985;38.12448812;29.85257985;2.17035217
EE;Estonia;67.33524355;23.49570201;9.169054441;0
FI;Finland;15.69135163;43.86328327;38.11496634;2.330398757
FR;France;54.77631773;11.48678577;25.51306659;8.223829913
DE;Germany;47.14809789;24.52384542;16.34755515;11.98050153
EL;Greece;87.88806296;1.705290774;10.36292086;0.043725404
HU;Hungary;58.66858238;29.69348659;11.63793103;0
IS;Iceland;16.25;55;25;3.75
IE;Ireland;52.93088364;22.83464567;21.52230971;2.71216098
IT;Italy;69.19392735;3.271281402;14.39544551;13.13934574
LV;Latvia;41.98250729;46.06413994;11.95335277;0
LT;Lithuania;31.21330724;18.59099804;38.06262231;12.13307241
LU;Luxembourg;37.22627737;32.60340633;27.73722628;2.433090024
MT;Malta;73.59550562;20.2247191;6.179775281;0
NL;Netherlands;18.88888889;13.35978836;61.69312169;6.058201058
NO;Norway;31.09305761;35.89364845;32.9394387;0.073855244
PL;Poland;62.45110821;24.85875706;12.4728379;0.217296827
PT;Portugal;86.94638695;10.02331002;2.564102564;0.466200466
RO;Romania;57.01492537;8.869936034;32.77185501;1.343283582
SK;Slovakia;25.84745763;51.27118644;21.39830508;1.483050847
SI;Slovenia;50.49365303;28.20874471;21.29760226;0
ES;Spain;87.62527233;1.002178649;9.54248366;1.830065359
SE;Sweden;24.29906542;29.08191314;46.61902144;0
UK;United Kingdom;52.71317829;28.37883384;18.90798787;0
