name;Count of LABSAMPCODE;Sum of BelowLOQ;Sum of BetweenLOQandMRL;Sum of AboveMRL;%belowLOQ;%betweenLOQ_MRL;%aboveLOQ
Albania;231;184;40;7;79.65367965;17.31601732;3.03030303
Algeria;6;5;1;0;83.33333333;16.66666667;0
Andorra;1;1;0;0;100;0;0
Anguilla;1;1;0;0;100;0;0
Argentina;491;283;197;11;57.63747454;40.12219959;2.240325866
Australia;46;29;14;3;63.04347826;30.43478261;6.52173913
Austria;789;482;292;15;61.08998733;37.00887199;1.901140684
Bangladesh;36;16;8;12;44.44444444;22.22222222;33.33333333
Belarus;19;17;2;0;89.47368421;10.52631579;0
Belgium;1546;525;972;49;33.95860285;62.87192755;3.169469599
Belize;4;2;2;0;50;50;0
Benin;69;38;28;3;55.07246377;40.57971014;4.347826087
Bolivia;26;13;11;2;50;42.30769231;7.692307692
Bosnia and Herzegovina;25;11;14;0;44;56;0
Brazil;582;176;362;44;30.24054983;62.19931271;7.560137457
Bulgaria;306;264;34;8;86.2745098;11.11111111;2.614379085
Burkina Faso;14;10;3;1;71.42857143;21.42857143;7.142857143
Burundi;1;0;1;0;0;100;0
Cambodia;83;63;14;6;75.90361446;16.86746988;7.228915663
Cameroon;62;29;29;4;46.77419355;46.77419355;6.451612903
Canada;214;170;42;2;79.43925234;19.62616822;0.934579439
Central African Republic;1;0;1;0;0;100;0
Chile;706;223;470;13;31.58640227;66.57223796;1.841359773
China;1288;613;485;190;47.5931677;37.6552795;14.7515528
Colombia;292;66;195;31;22.60273973;66.78082192;10.61643836
Congo;5;5;0;0;100;0;0
Costa Rica;566;206;345;15;36.39575972;60.9540636;2.650176678
Côte d'Ivoire;63;24;38;1;38.0952381;60.31746032;1.587301587
Croatia;331;227;95;9;68.58006042;28.70090634;2.719033233
Cuba;7;2;5;0;28.57142857;71.42857143;0
Cyprus;510;353;128;29;69.21568627;25.09803922;5.68627451
Czech Republic;1035;739;288;8;71.40096618;27.82608696;0.77294686
Denmark;619;491;124;4;79.32148627;20.03231018;0.646203554
Dominica;12;11;0;1;91.66666667;0;8.333333333
Dominican Republic;348;134;158;56;38.50574713;45.40229885;16.09195402
Ecuador;290;97;180;13;33.44827586;62.06896552;4.482758621
EEA;242;205;31;6;84.7107438;12.80991736;2.479338843
Egypt;1806;870;881;55;48.17275748;48.78183832;3.045404208
Estonia;229;188;39;2;82.09606987;17.03056769;0.873362445
Ethiopia;99;37;49;13;37.37373737;49.49494949;13.13131313
Finland;256;219;33;4;85.546875;12.890625;1.5625
Former Yugoslav Republic of Macedonia, the;100;80;18;2;80;18;2
France;4364;2448;1735;181;56.09532539;39.75710357;4.147571036
Georgia;12;5;7;0;41.66666667;58.33333333;0
Germany;9061;4549;4324;188;50.20417172;47.7210021;2.074826178
Ghana;41;19;18;4;46.34146341;43.90243902;9.756097561
Greece;2917;1507;1282;128;51.66266712;43.94926294;4.388069935
Guatemala;69;21;46;2;30.43478261;66.66666667;2.898550725
Guyana;39;29;6;4;74.35897436;15.38461538;10.25641026
Honduras;62;30;31;1;48.38709677;50;1.612903226
