Food;Category;SubCategory;Samples;Below LOQ;% Below LOQ;Below MRL;% Below MRL;Above MRL;% Above MRL
Head cabbages;Vegetables;Brassica vegetables;1326;960;72.4;349;26.3;17;1.3
Broccoli;Vegetables;Brassica vegetables;442;270;61.1;153;34.6;19;4.3
Cauliflowers;Vegetables;Brassica vegetables;398;337;84.7;56;14.1;5;1.3
Kohlrabies;Vegetables;Brassica vegetables;352;229;65.1;110;31.3;13;3.7
Brussels sprouts;Vegetables;Brassica vegetables;303;81;26.7;207;68.3;15;5
Chinese cabbages;Vegetables;Brassica vegetables;234;132;56.4;84;35.9;18;7.7
Kales;Vegetables;Brassica vegetables;122;60;49.2;56;45.9;6;4.9
Brassica vegetables n/s;Vegetables;Brassica vegetables;73;58;79.5;12;16.4;3;4.1
Onions;Vegetables;Bulb vegetables;530;429;80.9;97;18.3;4;0.8
Spring onions;Vegetables;Bulb vegetables;334;156;46.7;156;46.7;22;6.6
Garlic;Vegetables;Bulb vegetables;136;111;81.6;22;16.2;3;2.2
Shallots;Vegetables;Bulb vegetables;28;12;42.9;16;57.1;0;0
Bulb vegetables n/s;Vegetables;Bulb vegetables;6;6;100;0;0;0;0
Sweet peppers;Vegetables;Fruiting vegetables;6556;3059;46.7;3204;48.9;293;4.5
Tomatoes;Vegetables;Fruiting vegetables;3151;1515;48.1;1513;48;123;3.9
Cucumbers;Vegetables;Fruiting vegetables;1344;621;46.2;706;52.5;17;1.3
Courgettes;Vegetables;Fruiting vegetables;1207;754;62.5;424;35.1;29;2.4
Aubergines;Vegetables;Fruiting vegetables;865;513;59.3;316;36.5;36;4.2
Melons;Vegetables;Fruiting vegetables;427;185;43.3;234;54.8;8;1.9
Okra;Vegetables;Fruiting vegetables;339;153;45.1;149;44;37;10.9
Watermelons;Vegetables;Fruiting vegetables;167;137;82;28;16.8;2;1.2
Pumpkins;Vegetables;Fruiting vegetables;134;104;77.6;23;17.2;7;5.2
Sweet corn;Vegetables;Fruiting vegetables;123;116;94.3;5;4.1;2;1.6
