code;name;Count of LABSAMPCODE;Sum of BelowLOQ;Sum of BetweenLOQandMRL;Sum of AboveMRL;%below LOQ;%betweenLOQ_MRL;%aboveLOQ
AT;Austria;2234;1223;967;44;54.74485228;43.28558639;1.969561325
BE;Belgium;3767;1634;1952;181;43.37669233;51.81842315;4.804884523
BG;Bulgaria;5153;2303;2595;255;44.69241219;50.35901417;4.948573646
HR;Croatia;547;339;199;9;61.97440585;36.38025594;1.645338208
CY;Cyprus;673;418;209;46;62.10995542;31.05497771;6.835066865
CZ;Czech Republic;1295;497;740;58;38.37837838;57.14285714;4.478764479
DK;Denmark;2442;1427;947;68;58.43570844;38.77968878;2.784602785
EE;Estonia;349;237;106;6;67.90830946;30.37249284;1.719197708
FI;Finland;1931;1049;823;59;54.32418436;42.62040394;3.055411704
FR;France;6773;3505;2832;436;51.74959398;41.81308135;6.437324671
DE;Germany;19899;7826;11310;763;39.32860948;56.83702699;3.834363536
EL;Greece;2287;1208;990;89;52.82028859;43.28815042;3.891560997
HU;Hungary;2088;957;1105;26;45.83333333;52.92145594;1.245210728
IS;Iceland;240;113;112;15;47.08333333;46.66666667;6.25
IE;Ireland;1143;673;450;20;58.88013998;39.37007874;1.749781277
IT;Italy;11066;7169;3682;215;64.78402313;33.27308874;1.942888126
LV;Latvia;343;252;90;1;73.46938776;26.23906706;0.29154519
LT;Lithuania;1022;637;350;35;62.32876712;34.24657534;3.424657534
LU;Luxembourg;411;205;172;34;49.8783455;41.84914842;8.272506083
MT;Malta;178;110;49;19;61.79775281;27.52808989;10.6741573
NL;Netherlands;3780;1276;2219;285;33.75661376;58.7037037;7.53968254
NO;Norway;1354;623;654;77;46.01181684;48.30132939;5.686853767
PL;Poland;2301;1102;1119;80;47.89222077;48.63102999;3.476749239
PT;Portugal;429;230;192;7;53.61305361;44.75524476;1.631701632
RO;Romania;4690;3461;1161;68;73.79530917;24.75479744;1.44989339
SK;Slovakia;472;207;246;19;43.8559322;52.11864407;4.025423729
SI;Slovenia;709;516;179;14;72.77856135;25.24682652;1.97461213
ES;Spain;2295;1479;743;73;64.44444444;32.37472767;3.180827887
SE;Sweden;1819;800;975;44;43.98020891;53.6008796;2.41891149
UK;United Kingdom;2967;1459;1379;129;49.17425008;46.47792383;4.347826087
